Gene,log2FoldChange,pvalue,padj,logpvalue,significance
DOK6,0.51,1.861e-08,0.0003053,7.730253627,Not Significant
TBX5,-2.129,5.655e-08,0.0004191,7.247567391,Downregulated
SLC32A1,0.9003,7.664e-08,0.0004191,7.115544504,Not Significant
IFITM1,-1.687,3.735e-06,0.006809,5.427709394,Downregulated
NUP93,0.3659,3.373e-06,0.006809,5.471983659,Not Significant
EMILIN2,1.534,2.976e-06,0.006809,5.526367073,Upregulated
TPX2,-0.9974,2.097e-06,0.006809,5.67840157,Not Significant
LAMA2,-1.425,2.39e-06,0.006809,5.621602099,Downregulated
CAV2,-1.052,3.213e-06,0.006809,5.493089274,Downregulated
TNN,-1.658,8.973e-06,0.01472,5.047062332,Downregulated
POU3F4,1.181,1.062e-05,0.01584,4.973875483,Upregulated
COL13A1,-1.647,1.394e-05,0.01592,4.855737226,Downregulated
IFITM3,-1.61,1.202e-05,0.01592,4.920095532,Downregulated
SHISA3,-1.477,1.31e-05,0.01592,4.882728704,Downregulated
LOC285954,1.05,1.456e-05,0.01592,4.836838625,Upregulated
VEPH1,1.137,2.211e-05,0.02267,4.655411257,Upregulated
ARHGAP29,-1.526,3.675e-05,0.03547,4.434742657,Downregulated
KIAA1755,-1.562,3.972e-05,0.0362,4.40099076,Downregulated
LAMC3,-1.563,4.29e-05,0.03704,4.367542708,Downregulated
ITM2A,-1.398,4.972e-05,0.04078,4.30346888,Downregulated
DTHD1,1.54,5.594e-05,0.04371,4.252277538,Upregulated
RBMS1,-0.9139,6.688e-05,0.04988,4.174703736,Not Significant
CEBPD,-1.202,7.859e-05,0.05606,4.104632711,Downregulated
DMBX1,-1.425,9.529e-05,0.06486,4.020952673,Downregulated
PAPLN,-1.253,9.883e-05,0.06486,4.005111205,Downregulated
ADM,-1.357,0.0001089,0.06872,3.96297212,Downregulated
COL2A1,-1.187,0.0001424,0.07794,3.846490011,Downregulated
HS3ST3A1,-1.004,0.0001388,0.07794,3.857610534,Downregulated
DYSF,-1.03,0.0001425,0.07794,3.846185136,Downregulated
PI16,1.495,0.0001297,0.07794,3.887060024,Upregulated
